,name,description,language,stars,forks,labels,issues,contents
20,KLA,,Python,1,0,<github.PaginatedList.PaginatedList object at 0x000001411DAF7D90>,<github.PaginatedList.PaginatedList object at 0x000001411DAF7940>,"[ContentFile(path="".gitignore""), ContentFile(path=""milestone1.py"")]"
21,music,Music Player,HTML,0,0,<github.PaginatedList.PaginatedList object at 0x000001411DB70FD0>,<github.PaginatedList.PaginatedList object at 0x000001411DB6D970>,"[ContentFile(path=""Music_logo.png""), ContentFile(path=""Music_player_Website_Thumbnail.png""), ContentFile(path=""README.md""), ContentFile(path=""bg.jpg""), ContentFile(path=""covers""), ContentFile(path=""home-icon.jpg""), ContentFile(path=""index.html""), ContentFile(path=""library-icon.png""), ContentFile(path=""logo.png""), ContentFile(path=""playing.gif""), ContentFile(path=""podcast-icon.png""), ContentFile(path=""repeat-icon.png""), ContentFile(path=""script.js""), ContentFile(path=""songs""), ContentFile(path=""style.css"")]"
22,netflix-clone,Netflix Clone,CSS,0,0,<github.PaginatedList.PaginatedList object at 0x000001411DAFC910>,<github.PaginatedList.PaginatedList object at 0x000001411DB72250>,"[ContentFile(path=""README.md""), ContentFile(path=""css""), ContentFile(path=""images""), ContentFile(path=""index.html"")]"
23,os_lab,,C,0,0,<github.PaginatedList.PaginatedList object at 0x000001411DB72820>,<github.PaginatedList.PaginatedList object at 0x000001411DB84B20>,"[ContentFile(path=""README.md""), ContentFile(path=""banker_algo.c""), ContentFile(path=""dining_phil.c""), ContentFile(path=""fork.c""), ContentFile(path=""pipe1.c""), ContentFile(path=""pipe2.c""), ContentFile(path=""producer_consumer.c""), ContentFile(path=""reader_writer.c""), ContentFile(path=""round_robin.c""), ContentFile(path=""scheduling.c""), ContentFile(path=""scheduling_algos.c""), ContentFile(path=""sema_thread.c""), ContentFile(path=""shm_client.c""), ContentFile(path=""shm_server.c""), ContentFile(path=""sjf.c"")]"
24,OS_lab_dump,,C,0,0,<github.PaginatedList.PaginatedList object at 0x000001411DB86A00>,<github.PaginatedList.PaginatedList object at 0x000001411DB84EB0>,"[ContentFile(path="".vscode""), ContentFile(path=""a.exe""), ContentFile(path=""a.out""), ContentFile(path=""banker_algo_without_req.c""), ContentFile(path=""client""), ContentFile(path=""lab10""), ContentFile(path=""lab10.c""), ContentFile(path=""lab11_q1.c""), ContentFile(path=""lab11_q2.c""), ContentFile(path=""lab2_mix.c""), ContentFile(path=""lab2q1.c""), ContentFile(path=""lab2q2.c""), ContentFile(path=""lab2q2.cpp""), ContentFile(path=""lab3q1.c""), ContentFile(path=""lab3q1_final.c""), ContentFile(path=""lab4q1.c""), ContentFile(path=""lab4q2.c""), ContentFile(path=""lab5_q1_reader.c""), ContentFile(path=""lab5_q1_writer.c""), ContentFile(path=""lab5_q2_client.c""), ContentFile(path=""lab5_q2_server.c""), ContentFile(path=""lab6_q1.c""), ContentFile(path=""lab6_q2.c""), ContentFile(path=""lab6_q3_1.txt""), ContentFile(path=""lab6_q3_2.txt""), ContentFile(path=""lab6_q3_3.txt""), ContentFile(path=""lab7_prog1.c""), ContentFile(path=""lab7_prog3.c""), ContentFile(path=""lab9_q1.c""), ContentFile(path=""lab9_q1_final.c""), ContentFile(path=""lab9_q2.c""), ContentFile(path=""os_lab8_cs20b1075.pdf""), ContentFile(path=""pipes_prac.c""), ContentFile(path=""round_robin_with_cs.c""), ContentFile(path=""round_robin_without_cs.c""), ContentFile(path=""sema.exe""), ContentFile(path=""sema_final.c""), ContentFile(path=""server""), ContentFile(path=""students_lab8.txt""), ContentFile(path=""test.c""), ContentFile(path=""test1.c""), ContentFile(path=""test_read.c""), ContentFile(path=""test_write.c""), ContentFile(path=""thread"")]"
25,Parallax-Website,,HTML,0,0,<github.PaginatedList.PaginatedList object at 0x000001411DB970D0>,<github.PaginatedList.PaginatedList object at 0x000001411DAFC4F0>,"[ContentFile(path=""README.md""), ContentFile(path=""css""), ContentFile(path=""img""), ContentFile(path=""index.html"")]"
26,portfolio-website,Personal Portfolio Website,HTML,0,0,<github.PaginatedList.PaginatedList object at 0x000001411DB8A250>,<github.PaginatedList.PaginatedList object at 0x000001411DB978E0>,"[ContentFile(path=""assets""), ContentFile(path=""index.html""), ContentFile(path=""scripts""), ContentFile(path=""styles"")]"
27,predicting-driver-stress,Course Project for BSPA,Python,0,0,<github.PaginatedList.PaginatedList object at 0x000001411DBC0F10>,<github.PaginatedList.PaginatedList object at 0x000001411DBC0070>,"[ContentFile(path="".vscode""), ContentFile(path=""README.md""), ContentFile(path=""a_convert_to_csv.py""), ContentFile(path=""b_basic_information.py""), ContentFile(path=""c_preprocessing.py""), ContentFile(path=""d_feature_selection.py""), ContentFile(path=""data""), ContentFile(path=""e_models.py""), ContentFile(path=""img"")]"
28,restaurant_website,Restuarant Website,HTML,0,2,<github.PaginatedList.PaginatedList object at 0x000001411DBC0880>,<github.PaginatedList.PaginatedList object at 0x000001411DBC8DF0>,"[ContentFile(path=""css""), ContentFile(path=""images""), ContentFile(path=""index.html""), ContentFile(path=""js"")]"
29,reverse-engineering,,HTML,0,2,<github.PaginatedList.PaginatedList object at 0x000001411DBD5EE0>,<github.PaginatedList.PaginatedList object at 0x000001411DBC8760>,"[ContentFile(path=""README.md""), ContentFile(path=""assets""), ContentFile(path=""css""), ContentFile(path=""hackathon.html""), ContentFile(path=""index.html""), ContentFile(path=""script"")]"
30,startoon_labs_assessment,Startoon Labs Coding Assessment,HTML,0,0,<github.PaginatedList.PaginatedList object at 0x000001411DBCC640>,<github.PaginatedList.PaginatedList object at 0x000001411DBD7DF0>,"[ContentFile(path=""README.md""), ContentFile(path=""index.html""), ContentFile(path=""scrpit.js""), ContentFile(path=""style.css""), ContentFile(path=""webpage_ss2_startoon_labs.jpg""), ContentFile(path=""webpage_ss_startoon_labs.jpg"")]"
31,vashisht_hackathon_23,,Jupyter Notebook,0,0,<github.PaginatedList.PaginatedList object at 0x000001411DBE4430>,<github.PaginatedList.PaginatedList object at 0x000001411DBD7760>,"[ContentFile(path=""README.md""), ContentFile(path=""input.midi""), ContentFile(path=""input.wav""), ContentFile(path=""logo.jpg""), ContentFile(path=""main.ipynb""), ContentFile(path=""main.py""), ContentFile(path=""poster.jpg""), ContentFile(path=""static""), ContentFile(path=""templates"")]"
32,warpspeed,,Python,0,0,<github.PaginatedList.PaginatedList object at 0x000001411DBDD640>,<github.PaginatedList.PaginatedList object at 0x000001411DBE8A30>,"[ContentFile(path="".gitignore""), ContentFile(path=""chromedriver.exe""), ContentFile(path=""jarvis.py""), ContentFile(path=""new.py"")]"
33,Weather-app,,JavaScript,0,0,<github.PaginatedList.PaginatedList object at 0x000001411DBF2B20>,<github.PaginatedList.PaginatedList object at 0x000001411DBE8DC0>,"[ContentFile(path=""config.js""), ContentFile(path=""node_modules""), ContentFile(path=""package-lock.json""), ContentFile(path=""package.json""), ContentFile(path=""public""), ContentFile(path=""src""), ContentFile(path=""templates""), ContentFile(path=""utils"")]"
